Year took over,Prime minister,Party,Second PM that year,Party
1721,Sir Robert Walpole,Whig,,
1722,Sir Robert Walpole,Whig,,
1723,Sir Robert Walpole,Whig,,
1724,Sir Robert Walpole,Whig,,
1725,Sir Robert Walpole,Whig,,
1726,Sir Robert Walpole,Whig,,
1727,Sir Robert Walpole,Whig,,
1728,Sir Robert Walpole,Whig,,
1729,Sir Robert Walpole,Whig,,
1730,Sir Robert Walpole,Whig,,
1731,Sir Robert Walpole,Whig,,
1732,Sir Robert Walpole,Whig,,
1733,Sir Robert Walpole,Whig,,
1734,Sir Robert Walpole,Whig,,
1735,Sir Robert Walpole,Whig,,
1736,Sir Robert Walpole,Whig,,
1737,Sir Robert Walpole,Whig,,
1738,Sir Robert Walpole,Whig,,
1739,Sir Robert Walpole,Whig,,
1740,Sir Robert Walpole,Whig,,
1741,Sir Robert Walpole,Whig,,
1742,"Spencer Compton, Earl of Wilmington",Whig,,
1743,Henry Pelham,Whig,,
1744,Henry Pelham,Whig,,
1745,Henry Pelham,Whig,,
1746,Henry Pelham,Whig,,
1747,Henry Pelham,Whig,,
1748,Henry Pelham,Whig,,
1749,Henry Pelham,Whig,,
1750,Henry Pelham,Whig,,
1751,Henry Pelham,Whig,,
1752,Henry Pelham,Whig,,
1753,Henry Pelham,Whig,,
1754,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1755,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1756,"William Cavendish, Duke of Devonshire",Whig,,
1757,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1758,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1759,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1760,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1761,"Thomas Pelham-Holles, Duke of Newcastle",Whig,,
1762,"John Stuart, Earl of Bute",Tory,,
1763,George Grenville,Whig,,
1764,George Grenville,Whig,,
1765,"Charles Watson-Wentworth, Marquess of Rockingham",Whig,,
1766,"William Pitt the Elder, Earl of Chatham",Whig,,
1767,"Augustus Fitzroy, Duke of Grafton",Whig,,
1768,"Augustus Fitzroy, Duke of Grafton",Whig,,
1769,"Augustus Fitzroy, Duke of Grafton",Whig,,
1770,"Frederick North, Lord North",Tory,,
1771,"Frederick North, Lord North",Tory,,
1772,"Frederick North, Lord North",Tory,,
1773,"Frederick North, Lord North",Tory,,
1774,"Frederick North, Lord North",Tory,,
1775,"Frederick North, Lord North",Tory,,
1776,"Frederick North, Lord North",Tory,,
1777,"Frederick North, Lord North",Tory,,
1778,"Frederick North, Lord North",Tory,,
1779,"Frederick North, Lord North",Tory,,
1780,"Frederick North, Lord North",Tory,,
1781,"Frederick North, Lord North",Tory,,
1782,"William FitzMaurice, Earl of Shelburne",Whig,"Charles Watson-Wentworth, Marquess of Rockingham",Whig
1783,"William Bentinck, Duke of Portland",Tory,"William Pitt, the Younger",Tory
1784,"William Pitt, the Younger",Tory,,
1785,"William Pitt, the Younger",Tory,,
1786,"William Pitt, the Younger",Tory,,
1787,"William Pitt, the Younger",Tory,,
1788,"William Pitt, the Younger",Tory,,
1789,"William Pitt, the Younger",Tory,,
1790,"William Pitt, the Younger",Tory,,
1791,"William Pitt, the Younger",Tory,,
