Item,Cost,Peter,Janet,Jack,Pam,Barbara,Colin,George
Large pepperoni pizza,£15.99,1,,,,,,
Large mushroom pizza,£4.99,,,1,,,1,
Medium pepperoni pizza,£10.99,,,,,1,,
Medium mushroom pizza,£9.99,,,,1,,,
Large margherita pizza,£13.99,,1,,,,,1
Medium margherita pizza,£8.99,,,,,,,
Side of fries,£4.40,1,,1,,,1,
Side salad,£3.45,1,,,,1,,1
Large diet cola,£2.89,1,,,1,,1,
Medium diet cola,£2.49,,,,1,,,1
Large lemonade,£2.89,,1,1,,,,
Medium lemonade,£2.49,,,,,1,1,
Chocolate cake,£3.99,1,,,,,1,1
Carrot cake,£3.49,,1,1,1,,,
Ice cream,£2.99,,,,1,,1,1
