Date,Rain (mm),Temperature (°C),Wind Speed (km/h),Relative Humidity (%),Pressure (hPa)
01/01/2024,0,7.2,15.2,75,994
02/01/2024,1.6,9.4,8.9,92,973.3
03/01/2024,0.3,7.2,4.6,92,981.3
04/01/2024,0,7,12.1,87,994.2
05/01/2024,0,5.2,3.6,90,997.7
06/01/2024,0,2.5,1.6,94,1013
07/01/2024,0,2.8,3.5,91,1025
08/01/2024,0,3.4,19.5,64,1030.2
09/01/2024,0,4.1,28.1,62,1029.7
10/01/2024,0,6.1,10.1,82,1027.7
11/01/2024,0,7.4,16.5,74,1034.3
12/01/2024,0,6.2,4.4,79,1032
13/01/2024,0,6.9,8.4,86,1018.8
14/01/2024,0,3.8,6.2,89,1006.9
15/01/2024,0,1.2,18.8,63,1006.5
16/01/2024,0,1.8,14.8,81,998.8
17/01/2024,0,1.1,5.8,73,987.9
18/01/2024,0,1.5,4.2,60,1002.7
19/01/2024,0,5.1,17.4,59,1013
20/01/2024,0.2,4.9,24,88,1010.9
21/01/2024,0.3,9.5,32.8,86,997.5
22/01/2024,0.5,8.4,30.5,71,996.7
23/01/2024,0.3,9.1,30.6,90,1003.6
24/01/2024,0,9.6,31.1,71,1016.5
25/01/2024,0,11,19.9,88,1013.8
26/01/2024,0,7.5,29.9,59,1020.9
27/01/2024,0,7.4,21.2,74,1023.6
28/01/2024,0,9.4,19.2,79,1010.3
29/01/2024,0.9,11.3,19.1,92,1012.1
30/01/2024,0,6.9,15.5,77,1022.9
31/01/2024,0,8.4,22.4,68,1017.7
01/02/2024,0,8.2,19.5,77,1027.4
02/02/2024,0.3,11.2,18,86,1020.4
03/02/2024,0,9.2,17,83,1019.3
04/02/2024,0.1,12.3,28.9,82,1013.4
05/02/2024,0.4,10.2,19.3,82,1009.1
06/02/2024,2.1,9.7,24.7,92,996.8
07/02/2024,0,5.2,3.2,74,1001
08/02/2024,1.5,2.7,35,90,983.8
09/02/2024,0,7.8,10,88,968.4
10/02/2024,0,8.1,6.8,84,977.3
11/02/2024,0.1,7.6,16.2,89,984.8
12/02/2024,0,7.6,20.9,67,997.8
13/02/2024,0,7.8,13.7,84,1003.2
14/02/2024,0.3,12.2,17.2,91,1002.1
15/02/2024,0.7,13.9,18.5,90,999
16/02/2024,0.1,10.7,16.2,85,1007.6
17/02/2024,0.1,12.8,13.7,87,1019.7
18/02/2024,0.1,11.3,18.3,84,1017.9
19/02/2024,0.1,10.8,24.8,74,1021.6
20/02/2024,0,11.6,22.7,78,1015
21/02/2024,0.5,9.9,33.9,89,989.8
22/02/2024,0.1,7.8,15.2,77,971.6
23/02/2024,0,7.2,15.9,70,977.3
24/02/2024,0,6.3,5.1,79,989
25/02/2024,0,8.6,18.1,60,990.7
26/02/2024,0,7.9,24.3,62,1011
27/02/2024,0.4,6.1,18.6,81,1011
28/02/2024,0.5,6.7,17.3,88,1007.4
29/02/2024,0,8.9,14.9,68,996.3
01/03/2024,0.9,3.8,21.7,90,980.3
02/03/2024,1,3.4,16.3,96,984.7
03/03/2024,0,6.4,4.3,75,996.5
04/03/2024,0,9.1,24.4,60,1001.1
05/03/2024,0,9.9,7.6,70,1007.6
06/03/2024,0.1,10.6,13,62,1015.1
07/03/2024,0,9.4,22.3,67,1017
08/03/2024,0,8.4,26.7,60,1004
09/03/2024,0,9.7,20.9,75,991.4
10/03/2024,0.3,8.1,20.9,85,992.1
11/03/2024,0,8.9,8.2,72,1003
12/03/2024,0.2,12.1,18.1,81,999.5
13/03/2024,0.5,12.3,21.5,87,1000.3
14/03/2024,0.1,12.1,17.9,81,996
15/03/2024,0.2,11.6,25.2,79,994.1
16/03/2024,0,10.9,13.7,61,1013.4
17/03/2024,0.2,12.9,14.6,85,1004.7
18/03/2024,0.1,13.5,18.3,64,1006.1
19/03/2024,0,13.6,16.2,63,1007.2
20/03/2024,0.5,11.1,8,92,1011
21/03/2024,0,10.1,18.3,77,1016.5
22/03/2024,0,10.2,27.8,56,1011.6
23/03/2024,0.1,7.3,31,68,1002.1
24/03/2024,0,10.4,20.8,55,1004.5
25/03/2024,0.9,7.8,17.6,89,992.7
26/03/2024,0,11.7,14.1,62,982.7
27/03/2024,0.4,9.8,33.7,66,970
28/03/2024,0,10.1,21.9,55,968.6
29/03/2024,0.1,11.6,21,68,977
30/03/2024,0.3,11.6,13.8,58,987.8
