ADDRESS,PRICE (K$),BEDROOMS,NEAREST_SCH_DIST,,,,,,,,,,,,
1 Acorn Place,565,4,0.828338552,,,,,,,,,,,,
1 Addis Way,365,3,5.524324354,,,,,,,,,,,,
1 Ainsley Court,287,3,1.649178183,,,,,,,,,,,,
1 Albert Street,255,2,1.571400937,,,,,,,,,,,,
1 Aman Place,325,4,1.514921629,,,,,,,,,,,,
1 Amethyst Crescent,409,4,1.227219194,,,,,,,,,,,,
1 Ardara Lane,400,3,2.485730857,,,,,,,,,,,,
1 Arnside Bend,370,4,0.491573138,,,,,,,,,,,,
1 Arrochar Court,565,4,1.221927593,,,,,,,,,,,,
1 Arundel Street,685,3,0.936243265,,,,,,,,,,,,
1 Ash Road,675,4,0.496400759,,,,,,,,,,,,
1 Ashcott Gate,367.5,3,0.680843327,,,,,,,,,,,,
1 Ashcroft Way,300,3,0.189350314,,,,,,,,,,,,
1 Ashendon Boulevard,535,4,2.220642666,,,,,,,,,,,,
1 Ashtree Boulevard,540,4,3.234398609,,,,,,,,,,,,
1 August Court,685,3,1.183362603,,,,,,,,,,,,
1 Avonlea Place,350,4,14.01354839,,,,,,,,,,,,
1 Babbler Court,570,4,2.74677214,,,,,,,,,,,,
1 Balga Place,318,2,1.859246539,,,,,,,,,,,,
1 Bamlett Street,379,3,1.364195755,,,,,,,,,,,,
1 Banken Court,387.5,4,4.204627996,,,,,,,,,,,,
1 Barcroft Court,465,4,0.747108089,,,,,,,,,,,,
1 Bates Loop,325,3,1.930504982,,,,,,,,,,,,
1 Batoni Way,515,3,3.141444909,,,,,,,,,,,,
1 Bayley Street,610,3,0.519573264,,,,,,,,,,,,
1 Beach Street,1950,5,1.428825658,,,,,,,,,,,,
1 Beacon Way,420,4,2.13203052,,,,,,,,,,,,
1 Beenan Elbow,347.5,3,1.517810845,,,,,,,,,,,,
1 Belfry Way,492,4,3.374077197,,,,,,,,,,,,
1 Bell Court,201,3,0.63073582,,,,,,,,,,,,
1 Bellata Place,275,3,1.296626334,,,,,,,,,,,,
1 Bellier Place,410,4,1.173982947,,,,,,,,,,,,
1 Belmont Close,315,4,2.016747892,,,,,,,,,,,,
1 Belvedere Rise,795,4,6.049553882,,,,,,,,,,,,
1 Benowa Drive,600,4,1.634924182,,,,,,,,,,,,
1 Bianco Place,400,4,2.197314944,,,,,,,,,,,,
1 Bignell Place,350,3,3.788223563,,,,,,,,,,,,
1 Bindoon Close,835,4,1.509007988,,,,,,,,,,,,
1 Binnia Mews,482,4,1.784415086,,,,,,,,,,,,
1 Binns Court,1260,3,2.427821859,,,,,,,,,,,,
1 Bishops Close,405,3,0.774913817,,,,,,,,,,,,
1 Bittern Close,465,3,2.295611114,,,,,,,,,,,,
1 Blato Place,560,5,3.736130486,,,,,,,,,,,,
1 Bohemia Way,380,3,1.12289063,,,,,,,,,,,,
1 Boncath Road,360,3,1.652201534,,,,,,,,,,,,
1 Bonita Way,540,4,1.959016413,,,,,,,,,,,,
1 Boronia Court,420,3,1.735659976,,,,,,,,,,,,
1 Borough Road,330,4,2.668401882,,,,,,,,,,,,
1 Bourke Street,705,3,1.093286046,,,,,,,,,,,,
1 Bowood Cove,615,4,0.546428881,,,,,,,,,,,,
1 Bradbury Road,565,3,0.830766358,,,,,,,,,,,,
1 Bradford Street,850,3,0.401390589,,,,,,,,,,,,
